project,id.project,range.date,devs,ml.only.devs,code.only.devs,ml.code.devs,perc.ml.only.devs,perc.code.only.devs,perc.ml.code.devs,sponsored.devs,ratio.sponsored,sponsored.core.devs,ratio.sponsored.core,num.tz,core.global.devs,core.mail.devs,core.code.devs,st.congruence,communicability,global.turnover,code.turnover,core.global.turnover,core.mail.turnover,core.code.turnover,ratio.smelly.quitters,ratio.smelly.devs,global.truck,mail.truck,code.truck,closeness.centr,betweenness.centr,degree.centr,global.mod,mail.mod,code.mod,density,mail.only.core.devs,code.only.core.devs,ml.code.core.devs,ratio.mail.only.core,ratio.code.only.core,ratio.ml.code.core,org.silo,org.siloN
wine,57,2013-12 -- 2014-02,98,54,12,32,0.551,0.1224,0.3265,12,0.1224,1,0.0227,1,34,32,14,0.5,0.8818,0.4523,0.5283,0.2424,0.4179,0.5,0.1778,0.449,0.6531,0.6279,0.6818,0.0204,0.1536,0.3185,0.5707,0.3284,0.5811,0.0732,20,2,12,0.5882,0.0588,0.3529,12,INCREASE
wine,57,2014-02 -- 2014-05,117,54,17,46,0.4615,0.1453,0.3932,16,0.1368,3,0.0476,1,38,38,16,0.339,0.9169,0.3535,0.1495,0.3056,0.3143,0.3333,0.2632,0.5128,0.6752,0.62,0.746,0.018,0.139,0.226,0.3855,0.3858,0.359,0.0413,26,4,12,0.619,0.0952,0.2857,9,DECREASE
wine,57,2014-05 -- 2014-08,80,28,17,35,0.35,0.2125,0.4375,16,0.2,2,0.0385,1,31,29,18,0.3023,0.9052,0.5888,0.4174,0.5217,0.6269,0.4706,0.4138,0.3625,0.6125,0.5397,0.6538,0.0237,0.1107,0.2063,0.5808,0.5709,0.6185,0.0595,18,7,11,0.5,0.1944,0.3056,18,INCREASE
wine,57,2014-08 -- 2014-11,88,29,22,37,0.3295,0.25,0.4205,23,0.2614,2,0.0339,1,32,29,20,0.2273,0.8968,0.3095,0.2523,0.381,0.4483,0.4211,0.0769,0.4659,0.6364,0.5606,0.661,0.0233,0.1589,0.2806,0.5541,0.4088,0.5756,0.0643,16,7,13,0.4444,0.1944,0.3611,14,DECREASE
wine,57,2014-11 -- 2015-02,104,41,24,39,0.3942,0.2308,0.375,21,0.2019,2,0.0317,1,38,37,19,0.1731,0.9084,0.3021,0.3279,0.3143,0.303,0.359,0.3793,0.4712,0.6346,0.5375,0.6984,0.0169,0.2062,0.2577,0.66,0.4575,0.7123,0.0433,23,5,14,0.5476,0.119,0.3333,25,INCREASE
wine,57,2015-02 -- 2015-05,106,37,23,46,0.3491,0.217,0.434,17,0.1604,0,0,1,37,33,22,0.3482,0.874,0.3714,0.3182,0.3467,0.4286,0.1951,0.2821,0.4245,0.6509,0.6024,0.6812,0.0207,0.187,0.315,0.447,0.4523,0.4634,0.0564,17,6,16,0.4359,0.1538,0.4103,24,DECREASE
wine,57,2015-05 -- 2015-08,113,45,20,48,0.3982,0.177,0.4248,11,0.0973,1,0.0147,1,38,34,23,0.3019,0.8779,0.3562,0.3066,0.3467,0.3582,0.4,0.2308,0.5841,0.6637,0.6344,0.6618,0.0289,0.1947,0.3836,0.6428,0.4139,0.6722,0.0896,23,12,11,0.5,0.2609,0.2391,18,DECREASE
wine,57,2015-08 -- 2015-11,113,45,16,52,0.3982,0.1416,0.4602,17,0.1504,1,0.0147,1,42,38,26,0.451,0.9257,0.3097,0.25,0.3,0.3611,0.1633,0.4286,0.5575,0.6283,0.6082,0.6176,0.0237,0.1099,0.2949,0.5774,0.4332,0.635,0.0801,20,8,18,0.4348,0.1739,0.3913,15,INCREASE
wine,57,2015-11 -- 2016-02,110,35,21,54,0.3182,0.1909,0.4909,23,0.2091,4,0.0533,1,36,33,22,0.4216,0.9234,0.3857,0.2657,0.3077,0.338,0.4583,0.4186,0.5091,0.6727,0.6292,0.7067,0.017,0.1453,0.3061,0.5933,0.3625,0.6195,0.0609,18,7,15,0.45,0.175,0.375,52,INCREASE
u-boot,58,2013-05 -- 2013-08,329,170,37,122,0.5167,0.1125,0.3708,28,0.0851,4,0.0252,1,113,105,47,0.3838,0.863,0,0,0,0,0,0,0.4802,0.6565,0.6404,0.7044,0.0075,0.3017,0.4465,0.2518,0.2689,0.224,0.023,76,18,29,0.6179,0.1463,0.2358,13,DECREASE
u-boot,58,2013-08 -- 2013-11,291,148,37,106,0.5086,0.1271,0.3643,47,0.1615,8,0.0559,1,100,97,33,0.2921,0.9673,0.529,0.5099,0.4789,0.4653,0.875,0.3963,0.457,0.6564,0.6181,0.7692,0.0074,0.2353,0.3286,0.4945,0.506,0.6908,0.0231,73,9,24,0.6887,0.0849,0.2264,7,DECREASE
u-boot,58,2013-11 -- 2014-02,314,157,38,119,0.5,0.121,0.379,61,0.1943,8,0.051,1,94,91,36,0.4677,0.9833,0.4198,0.4133,0.4742,0.4468,0.5217,0.4016,0.3758,0.7006,0.6703,0.7707,0.0066,0.2692,0.3702,0.5682,0.5521,0.7966,0.0228,69,14,22,0.6571,0.1333,0.2095,13,INCREASE
u-boot,58,2014-02 -- 2014-05,287,161,24,102,0.561,0.0836,0.3554,30,0.1045,7,0.0556,1,91,87,26,0.4565,0.976,0.5557,0.6078,0.4541,0.4494,0.9355,0.3114,0.4739,0.6829,0.6692,0.7937,0.0106,0.2599,0.3566,0.4151,0.3838,0.7533,0.0246,71,10,16,0.732,0.1031,0.1649,31,INCREASE
u-boot,58,2014-05 -- 2014-08,298,134,43,121,0.4497,0.1443,0.406,24,0.0805,2,0.0122,1,90,84,33,0.4086,0.9733,0.4615,0.3448,0.442,0.4327,0.6102,0.4444,0.4564,0.698,0.6706,0.7988,0.0071,0.2371,0.3462,0.4987,0.4132,0.7191,0.0208,65,14,19,0.6633,0.1429,0.1939,6,DECREASE
u-boot,58,2014-08 -- 2014-11,293,138,34,121,0.471,0.116,0.413,55,0.1877,6,0.0387,1,86,85,25,0.5443,0.9744,0.4738,0.558,0.3864,0.355,0.8276,0.4,0.4744,0.7065,0.6718,0.8387,0.0075,0.2352,0.3953,0.4468,0.3979,0.6204,0.026,65,5,20,0.7222,0.0556,0.2222,16,INCREASE
u-boot,58,2014-11 -- 2015-01,302,106,38,158,0.351,0.1258,0.5232,70,0.2318,12,0.0612,1,94,86,41,0.4222,0.9747,0.4639,0.3533,0.3111,0.3509,0.3333,0.4493,0.4834,0.6887,0.6742,0.7908,0.0071,0.2538,0.3752,0.5509,0.4164,0.6882,0.0235,63,18,23,0.6058,0.1731,0.2212,24,INCREASE
u-boot,58,2015-01 -- 2015-05,320,144,32,144,0.45,0.1,0.45,58,0.1812,3,0.017,1,110,108,37,0.3987,0.9566,0.4116,0.5161,0.2843,0.2887,0.6667,0.4453,0.45,0.6562,0.625,0.7898,0.0063,0.2301,0.3777,0.3931,0.3841,0.66,0.0236,80,9,28,0.6838,0.0769,0.2393,15,DECREASE
u-boot,58,2015-05 -- 2015-07,289,144,27,118,0.4983,0.0934,0.4083,45,0.1557,5,0.0345,1,99,95,34,0.4878,0.9807,0.509,0.5545,0.4498,0.4729,0.5352,0.4129,0.5294,0.6574,0.6374,0.7655,0.0118,0.2705,0.3625,0.3542,0.3535,0.5399,0.0264,71,10,24,0.6762,0.0952,0.2286,19,INCREASE
u-boot,58,2015-07 -- 2015-10,295,118,33,144,0.4,0.1119,0.4881,37,0.1254,3,0.0169,1,90,85,38,0.4403,0.9701,0.4521,0.3913,0.4233,0.4444,0.5833,0.5227,0.4508,0.6949,0.6756,0.7853,0.0079,0.3008,0.4449,0.4775,0.2642,0.4136,0.0279,65,18,20,0.6311,0.1748,0.1942,14,DECREASE
u-boot,58,2015-10 -- 2016-01,290,127,28,135,0.4379,0.0966,0.4655,38,0.131,3,0.0184,1,98,95,34,0.4865,0.9687,0.4821,0.5647,0.4043,0.4,0.6389,0.4681,0.531,0.6621,0.6374,0.7914,0.0092,0.2996,0.455,0.287,0.2279,0.6546,0.026,69,8,26,0.6699,0.0777,0.2524,23,INCREASE
vlc,59,2013-05 -- 2013-08,131,69,32,30,0.5267,0.2443,0.229,29,0.2214,0,0,17,39,38,10,0.4694,0.9098,0,0,0,0,0,0,0.4656,0.7023,0.6162,0.8387,0.0118,0.348,0.4648,0.2354,0.1791,0.3609,0.0275,31,3,7,0.7561,0.0732,0.1707,2,DECREASE
vlc,59,2013-08 -- 2013-11,106,62,3,41,0.5849,0.0283,0.3868,7,0.066,0,0,21,40,39,12,0.7143,0.9529,0.7595,0.8113,0.5063,0.5455,0.0909,0.4,0.5755,0.6226,0.6214,0.7273,0.1399,0.4235,0.6086,0.1445,0.1563,0.5007,0.058,28,1,11,0.7,0.025,0.275,4,INCREASE
